Token	Hash Value
integer	38955
real	13511
boolean	38253
of	4097
array	21585
start	21767
end	8076
declare	37798
module	29191
driver	29958
program	39007
get_value	62487
print	21780
use	8453
with	14213
parameters	77789
takes	20935
input	22222
returns	41178
for	8661
in	4227
switch	29269
case	13550
break	20181
default	39540
while	20532
AND	5528
OR	3161
true	14291
false	20610
+	560
-	586
*	547
/	612
<	781
<=	2368
>=	2394
>	807
==	2381
!=	2017
<<	2342
>>	2420
<<<	4683
>>>	4839
:	755
..	1796
;	768
,	573
:=	2342
[	1184
]	1210
(	521
)	534
